                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.5005,                 2.4144,                 1.0156,                   1.29,                0.54028,                0.63186,                0.56164,                0.23595,                 0.4978,                0.57369,                0.49199,                0.17075,                 1.8961,                 2.8763,                  1.222,                 1.5755,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.4812,                 2.3096,                0.99536,                 1.2576,                0.62834,                0.63137,                0.61249,                  0.253,                0.57726,                0.58004,                0.53782,                0.18572,                 1.9074,                 2.9015,                 1.1909,                 1.5792,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.3927,                 2.2153,                0.94711,                 1.2258,                0.66071,                0.59292,                0.61507,                0.24857,                0.59636,                0.51253,                0.50924,                0.16944,                 2.0016,                  3.109,                 1.5102,                 1.6805,               0.001505,               0.001505,               0.001505
                     27,                 1.4551,                   2.28,                0.95999,                 1.2263,                 0.6464,                0.63717,                0.63595,                0.28213,                 0.5956,                0.58053,                0.55056,                0.20779,                 1.7969,                 2.9624,                 1.2827,                 1.5111,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.4626,                 2.2557,                0.93585,                 1.2096,                0.62975,                 0.6531,                0.62347,                0.28722,                0.60322,                0.61888,                0.56905,                0.22448,                 1.7822,                 2.9735,                  1.206,                 1.4675,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.4455,                 2.2294,                0.89227,                 1.2018,                0.60151,                0.67434,                0.60543,                 0.2694,                0.55812,                0.64602,                0.55618,                0.22358,                 1.8213,                  2.969,                 1.1267,                  1.495,              0.0014456,              0.0014456,              0.0014456
                     30,                  1.397,                 2.1864,                0.86478,                 1.1791,                0.62522,                0.70973,                0.61731,                0.26143,                 0.5759,                0.68978,                0.56538,                0.21765,                 1.9213,                 2.7801,                 1.1063,                 1.5748,              0.0014258,              0.0014258,              0.0014258
                     31,                   1.41,                 2.1869,                0.89019,                 1.1784,                0.62015,                0.71504,                0.61329,                0.25044,                0.56335,                0.64956,                0.53621,                0.20538,                 2.1469,                 2.9924,                 1.1956,                 1.6402,               0.001406,               0.001406,               0.001406
                     32,                 1.3199,                 2.0994,                 0.8755,                 1.1722,                0.58226,                0.70061,                0.57702,                0.24156,                0.53219,                0.63186,                0.49594,                0.19236,                 2.0448,                 3.0601,                 1.2067,                 1.5992,              0.0013862,              0.0013862,              0.0013862
                     33,                 1.3392,                 2.1194,                0.86843,                 1.1538,                0.52403,                0.67617,                0.52461,                0.22084,                0.49582,                0.55398,                0.44385,                0.16907,                 2.1744,                 3.5683,                 1.2569,                 1.6988,              0.0013664,              0.0013664,              0.0013664
                     34,                 1.3698,                 2.0313,                0.87729,                 1.1634,                0.56573,                 0.6708,                0.55036,                0.22861,                0.49332,                0.58053,                0.45401,                0.16555,                 2.2097,                 3.4927,                 1.2293,                 1.7114,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.3227,                 2.1229,                0.84264,                   1.15,                 0.5923,                0.67434,                0.60276,                0.24633,                0.53147,                0.61593,                0.52072,                0.20026,                 2.2236,                 4.1969,                 1.1882,                 1.8183,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.3913,                 2.0833,                0.89127,                  1.177,                0.56622,                0.66305,                0.60186,                0.24165,                0.50824,                0.61062,                0.51645,                0.19895,                 2.1414,                 3.4644,                 1.3035,                  1.824,               0.001307,               0.001307,               0.001307
                     37,                 1.3266,                 2.0367,                0.85324,                 1.1671,                 0.6131,                0.71858,                 0.6442,                0.26013,                0.56326,                0.66018,                0.56809,                0.21448,                 2.0414,                 3.1344,                 1.1898,                 1.7616,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.3893,                 2.1469,                0.85982,                 1.1849,                0.57755,                0.67788,                0.57726,                 0.2275,                0.51526,                0.67434,                0.53256,                  0.193,                 2.2227,                 3.4149,                 1.3701,                  1.888,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.3676,                 2.0531,                0.86889,                 1.1957,                0.55206,                0.66749,                0.53825,                0.21411,                0.52132,                0.63032,                0.49103,                0.18544,                 2.3786,                 3.6865,                 1.4728,                 1.9474,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.3026,                 2.0358,                0.82278,                  1.143,                0.54682,                0.71327,                0.56822,                0.24494,                0.52917,                0.64956,                0.52394,                0.20206,                 2.2896,                 3.3561,                 1.3298,                 1.8303,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.2758,                 2.0083,                0.80622,                 1.1387,                 0.6152,                0.69027,                0.60421,                0.26348,                0.55948,                0.63363,                0.54238,                0.22256,                 2.0239,                   3.06,                 1.1989,                 1.6564,               0.001208,               0.001208,               0.001208
                     42,                 1.2691,                 2.0683,                0.82226,                 1.1163,                0.55774,                0.72212,                0.57328,                0.23487,                0.52397,                0.68381,                0.51383,                0.21434,                 2.0325,                 3.1858,                 1.2033,                 1.6295,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.2495,                 1.9867,                0.76797,                 1.1097,                0.56951,                 0.7469,                0.63616,                0.26998,                0.52413,                0.69558,                0.54741,                0.22877,                 2.0977,                 3.3926,                 1.2266,                 1.6132,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.3037,                 1.9816,                0.78543,                  1.132,                0.57107,                0.73757,                 0.6234,                0.27204,                0.54817,                0.64634,                0.54841,                0.23269,                 2.0895,                 3.3645,                 1.1221,                 1.5905,              0.0011486,              0.0011486,              0.0011486
