                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.084,                 4.3774,                  3.783,                 1.8415,                0.05243,                0.06998,                 0.0376,                0.02099,                0.06487,                0.04452,                0.03093,                0.01298,                 1.8799,                 4.2478,                 9.4596,                 1.6731,             0.00012495,             0.00012495,             0.00012495
                      2,                 1.9317,                 3.6937,                 2.4349,                 1.6394,                0.47256,                0.06574,                 0.0478,                0.02552,                0.43979,                0.04966,                0.02847,                0.01257,                 1.8465,                  4.263,                 8.7608,                 1.6103,             0.00025666,             0.00025666,             0.00025666
                      3,                 1.7932,                 3.4784,                 2.0782,                 1.5608,                0.46666,                0.09486,                0.05275,                0.02906,                0.45122,                0.07759,                0.04098,                0.01855,                  1.751,                 3.9015,                 6.2651,                 1.5938,             0.00038202,             0.00038202,             0.00038202
                      4,                 1.7458,                 3.4089,                 2.0132,                 1.5421,                0.26478,                0.08026,                0.06322,                0.03411,                 0.2105,                0.06898,                0.04837,                0.01973,                 1.7872,                 3.9486,                 3.7766,                 1.6391,             0.00049648,             0.00049648,             0.00049648
                      5,                 1.6923,                 3.2815,                 1.8725,                 1.4906,                0.23545,                0.10038,                0.06085,                0.03286,                0.21708,                0.08465,                0.05042,                0.02019,                 1.8232,                 3.8429,                 3.7964,                 1.6674,             0.00059586,             0.00059586,             0.00059586
                      6,                 1.6907,                 3.2682,                 1.8211,                 1.4865,                0.22112,                0.08115,                0.05253,                0.02992,                0.20567,                0.06713,                0.04359,                0.01875,                 1.7909,                 3.8214,                 3.6059,                 1.6553,             0.00067662,             0.00067662,             0.00067662
                      7,                 1.7365,                 3.2851,                 1.8629,                 1.4878,                0.26474,                0.09815,                0.06703,                0.03777,                0.25129,                0.08214,                0.05709,                 0.0236,                 1.7667,                 3.8121,                 3.2578,                 1.6386,             0.00066303,             0.00066303,             0.00066303
                      8,                 1.6973,                  3.304,                 1.7893,                  1.481,                0.11556,                0.10385,                0.06203,                0.03533,                0.09802,                0.08686,                0.05022,                0.02188,                  1.747,                 3.7367,                 2.5872,                 1.6003,             0.00060786,             0.00060786,             0.00060786
                      9,                 1.6251,                 3.1886,                 1.7151,                 1.4643,                0.12176,                0.12251,                0.06999,                0.03777,                0.10158,                0.09951,                0.05348,                0.02145,                 1.7166,                 3.6795,                 2.4741,                 1.5819,             0.00054808,             0.00054808,             0.00054808
                     10,                 1.5176,                 2.9733,                 12.852,                 1.3441,                0.26925,                0.13746,                0.08991,                0.04992,                0.24787,                0.11467,                0.07176,                0.02949,                  1.706,                 3.6096,                 2.3425,                 1.5725,             0.00048517,             0.00048517,             0.00048517
                     11,                 1.6284,                 3.2721,                 2.0066,                 1.4776,                0.23584,                0.10177,                0.06751,                0.03858,                0.21685,                 0.0844,                0.05437,                0.02369,                  1.672,                 3.5901,                 2.2899,                 1.5422,             0.00042067,             0.00042067,             0.00042067
                     12,                 1.5834,                 3.2341,                 1.9111,                 1.4424,                0.22891,                0.09977,                0.06197,                0.03536,                0.20814,                0.08011,                0.04835,                0.02072,                 1.6386,                 3.5839,                 2.2876,                 1.5276,             0.00035616,             0.00035616,             0.00035616
                     13,                 1.5408,                  3.048,                 1.7823,                 1.4007,                0.12587,                0.14195,                0.08347,                0.04733,                0.34388,                 0.0999,                0.06173,                0.02686,                  1.642,                 3.5746,                 2.2529,                 1.5487,             0.00029325,             0.00029325,             0.00029325
                     14,                 1.5287,                 3.2088,                 2.0017,                 1.4584,                0.15487,                0.15277,                0.08937,                0.04962,                0.13718,                0.12476,                0.06996,                0.02951,                 1.6378,                 3.5359,                 2.2265,                 1.5522,             0.00023347,             0.00023347,             0.00023347
                     15,                 1.5632,                 3.1455,                 2.8907,                 1.4756,                0.26944,                0.14436,                0.09105,                0.05167,                0.26087,                0.12006,                0.07308,                0.03179,                 1.6314,                 3.4874,                 2.2001,                 1.5476,              0.0001783,              0.0001783,              0.0001783
                     16,                  1.584,                 3.2685,                 2.3011,                 1.4197,                0.15381,                0.14602,                0.09421,                0.05353,                0.14802,                0.11618,                0.07568,                0.03308,                 1.6228,                 3.4656,                 2.1783,                 1.5413,              0.0001291,              0.0001291,              0.0001291
                     17,                 1.5438,                  3.071,                 1.9112,                 1.4583,                0.15348,                0.14538,                0.09572,                 0.0548,                0.14667,                0.11873,                0.07722,                0.03419,                 1.6122,                 3.4503,                  2.172,                 1.5336,             8.7079e-05,             8.7079e-05,             8.7079e-05
                     18,                 1.4004,                 2.8013,                 6.5643,                 1.3041,                0.15578,                0.15514,                0.10122,                0.05813,                0.14085,                 0.1305,                0.08191,                0.03636,                 1.6031,                 3.4449,                 2.1603,                 1.5277,             5.3272e-05,             5.3272e-05,             5.3272e-05
                     19,                 1.5697,                 3.6198,                 3.3165,                 1.5037,                0.15618,                0.14958,                0.10013,                0.05843,                0.14262,                0.12647,                0.08139,                0.03646,                 1.5985,                 3.4414,                  2.151,                 1.5241,             2.8511e-05,             2.8511e-05,             2.8511e-05
                     20,                 1.4769,                 2.9442,                 1.5871,                   1.38,                0.15298,                0.15571,                0.10013,                0.05873,                0.14173,                0.13109,                0.08223,                0.03695,                 1.5951,                 3.4379,                 2.1429,                 1.5177,             1.3407e-05,             1.3407e-05,             1.3407e-05
