                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.084,                 4.3774,                  3.783,                 1.8415,                0.06281,                0.02645,                0.02935,                0.01697,                0.06378,                0.02409,                0.02422,                0.01085,                 1.8799,                 4.2478,                 9.4596,                 1.6731,             0.00012495,             0.00012495,             0.00012495
                      2,                 1.9314,                 3.6947,                 2.4344,                 1.6391,                0.47678,                0.05562,                0.04635,                0.02473,                0.44252,                0.04265,                0.02831,                0.01242,                 1.8465,                 4.2677,                 8.8041,                 1.6098,             0.00025817,             0.00025817,             0.00025817
                      3,                 1.7929,                 3.4783,                 2.0799,                 1.5619,                 0.4675,                0.07323,                0.05016,                0.02816,                0.45374,                0.06132,                0.03985,                0.01808,                 1.7641,                 3.9098,                 6.2012,                 1.6078,             0.00039113,             0.00039113,             0.00039113
                      4,                   1.75,                 3.4108,                 2.0186,                 1.5465,                0.33815,                0.09753,                0.06301,                0.03464,                0.33116,                0.07062,                0.04904,                0.01984,                 1.8013,                 3.9959,                 3.8184,                 1.6526,             0.00052364,             0.00052364,             0.00052364
                      5,                 1.6943,                 3.2908,                 1.8906,                 1.4955,                0.22318,                0.10257,                0.06477,                 0.0329,                0.20355,                0.08329,                0.04825,                0.01902,                 1.8479,                 3.8905,                 4.1185,                 1.6903,              0.0006555,              0.0006555,              0.0006555
                      6,                 1.6974,                 3.2776,                 1.8355,                 1.4896,                0.34453,                0.07583,                0.05438,                 0.0294,                0.33041,                0.06482,                0.04218,                0.01844,                 1.8169,                 3.8854,                 4.0722,                 1.6692,             0.00078653,             0.00078653,             0.00078653
                      7,                 1.7374,                 3.2993,                 1.8776,                 1.4836,                0.27179,                0.08486,                0.06166,                0.03586,                0.26875,                0.07053,                 0.0519,                0.02256,                  1.789,                 3.9774,                 3.7764,                 1.6479,              0.0008257,              0.0008257,              0.0008257
                      8,                 1.7101,                 3.3517,                 1.8379,                 1.4872,                0.10253,                0.09464,                0.05383,                0.03028,                0.08549,                0.07269,                0.04155,                0.01823,                 1.7508,                 3.8218,                 2.7765,                 1.6218,             0.00082307,             0.00082307,             0.00082307
                      9,                 1.6485,                 3.2127,                  1.761,                 1.4709,                0.10129,                0.13085,                0.06471,                0.03469,                0.08272,                0.10982,                0.05052,                0.01984,                 1.7772,                 3.8337,                  2.756,                 1.6353,             0.00082005,             0.00082005,             0.00082005
                     10,                  1.536,                 3.0084,                 10.006,                 1.3529,                0.10922,                0.14484,                0.08249,                0.04593,                0.08973,                0.12078,                0.06407,                0.02702,                 1.7313,                 3.6993,                 2.4395,                 1.6031,             0.00081663,             0.00081663,             0.00081663
                     11,                 1.6309,                 3.2314,                 1.8849,                 1.4535,                0.33953,                0.10941,                  0.062,                0.03342,                0.32572,                0.08835,                0.04788,                 0.0207,                 1.7118,                 3.7394,                 2.3958,                 1.5955,             0.00081282,             0.00081282,             0.00081282
                     12,                 1.6274,                 3.2281,                 1.8978,                 1.4624,                0.21564,                0.13433,                0.06804,                0.03732,                0.33312,                0.10278,                0.05287,                0.02314,                 1.7138,                 3.6973,                 2.3849,                 1.6047,             0.00080862,             0.00080862,             0.00080862
                     13,                 1.6041,                 3.1868,                 1.7116,                 1.4428,                0.25351,                0.14522,                0.08589,                0.04802,                0.23929,                0.11211,                0.06549,                0.02801,                 1.7123,                 3.7359,                 2.4553,                 1.6183,             0.00080404,             0.00080404,             0.00080404
                     14,                 1.6223,                 3.1628,                 1.7658,                 1.4467,                0.11981,                0.16177,                0.08631,                  0.048,                0.11594,                0.11497,                0.06655,                0.02793,                 1.7282,                 3.7336,                 2.3283,                 1.6456,             0.00079909,             0.00079909,             0.00079909
                     15,                 1.5838,                  3.205,                 1.6576,                 1.4251,                0.13897,                0.14454,                0.09288,                0.05091,                0.12273,                0.11306,                0.07304,                0.03139,                 1.7701,                 3.7061,                 2.3425,                 1.6825,             0.00079376,             0.00079376,             0.00079376
                     16,                 1.5918,                 3.0674,                 1.6306,                 1.4285,                 0.1195,                 0.1402,                0.08957,                0.05071,                0.09626,                0.11674,                0.06832,                0.02976,                 1.7414,                 3.7455,                  2.452,                 1.6869,             0.00078806,             0.00078806,             0.00078806
                     17,                 1.5688,                 3.0512,                 1.6088,                 1.4208,                0.12394,                0.18108,                0.09205,                0.05147,                0.10455,                0.13423,                 0.0695,                0.02854,                 1.7148,                  3.704,                  2.362,                 1.6309,               0.000782,               0.000782,               0.000782
                     18,                 1.5636,                 3.1222,                 1.6771,                 1.4002,                0.13028,                0.14839,                 0.0904,                0.04931,                0.10861,                0.12072,                0.06703,                0.02672,                 1.7107,                 3.7489,                 2.3604,                 1.6048,             0.00077558,             0.00077558,             0.00077558
