                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5027,                  4.331,                 2.8931,                 2.0413,                0.11106,                0.75752,                0.22935,                0.07647,                0.09705,                0.66195,                0.18251,                0.05161,                 1.9163,                 3.4505,                 19.393,                 1.6616,                0.00016,                0.00016,                0.00016
                      2,                 2.0182,                 2.9715,                 1.7172,                 1.6779,                0.35136,                0.52743,                0.30468,                0.10653,                0.28154,                0.42655,                0.21871,                0.07337,                 1.9513,                 3.3864,                 3.3747,                 1.6281,             0.00033793,             0.00033793,             0.00033793
                      3,                 1.8559,                 2.7964,                 1.4671,                 1.4486,                0.48875,                0.52566,                0.42814,                0.17052,                0.49682,                0.49027,                0.40737,                0.13831,                 1.8723,                 3.2378,                 2.0507,                 1.5023,              0.0005074,              0.0005074,              0.0005074
                      4,                 1.7651,                 2.7591,                 1.3747,                 1.3901,                0.44374,                0.49027,                0.43885,                0.17643,                0.46918,                0.39646,                0.37432,                0.12845,                 1.9355,                 3.4882,                 2.2612,                   1.61,             0.00066223,             0.00066223,             0.00066223
                      5,                 1.7671,                 2.5814,                 1.3422,                 1.4484,                0.51211,                 0.5292,                0.48436,                0.17895,                0.47195,                0.46191,                0.38774,                0.12495,                 2.1152,                 3.6391,                  2.525,                 1.7418,             0.00079681,             0.00079681,             0.00079681
                      6,                 1.7121,                 2.6622,                 1.3012,                 1.4052,                0.60803,                0.44752,                0.48643,                0.18404,                0.56009,                0.41062,                0.42085,                0.13676,                 2.0574,                 4.0456,                  2.564,                 1.6093,             0.00090632,             0.00090632,             0.00090632
                      7,                 1.6781,                 2.6084,                 1.2309,                 1.3547,                0.51755,                 0.5677,                0.49845,                0.18669,                0.45336,                0.55221,                0.43228,                0.14402,                 2.0094,                 4.4105,                 1.9054,                 1.5571,             0.00098698,             0.00098698,             0.00098698
                      8,                 1.6688,                 2.6114,                 1.1438,                 1.3297,                0.45199,                 0.5823,                0.44516,                0.16818,                0.44428,                0.51327,                0.39985,                 0.1293,                 1.9122,                 3.5679,                 1.6936,                 1.5924,              0.0010362,              0.0010362,              0.0010362
                      9,                 1.6473,                 2.5012,                 1.1076,                 1.3058,                0.41742,                0.53451,                0.43842,                0.16495,                0.36685,                 0.4708,                0.36329,                0.11415,                 1.9614,                 3.1916,                 1.6246,                 1.7226,              0.0010527,              0.0010527,              0.0010527
                     10,                 1.7127,                 2.6442,                 1.1478,                 1.3827,                0.45141,                0.52743,                0.44955,                0.17159,                0.41977,                0.50619,                0.41396,                0.12892,                 2.0258,                 3.3472,                   1.55,                 1.8562,              0.0010367,              0.0010367,              0.0010367
                     11,                 1.6256,                 2.6127,                 1.2689,                 1.3934,                0.39998,                0.59109,                0.35962,                0.12818,                 0.3719,                0.49675,                0.30842,                0.09438,                  2.736,                 3.0794,                 2.1346,                 2.3257,              0.0009898,              0.0009898,              0.0009898
                     12,                 1.7151,                 2.6025,                 1.3331,                 1.3741,                0.30283,                0.59823,                0.26028,                0.10156,                0.28051,                0.52566,                0.22376,                0.07457,                 2.7438,                 3.0687,                 2.2717,                 2.3395,             0.00085513,             0.00085513,             0.00085513
                     13,                  1.609,                 2.5973,                 1.2534,                 1.3224,                0.39954,                0.64891,                 0.3622,                0.14353,                0.38126,                0.57168,                0.31999,                0.11249,                 2.2952,                 3.0252,                 1.9449,                 1.9499,             0.00070407,             0.00070407,             0.00070407
                     14,                 1.5197,                 2.4834,                 1.1219,                 1.3037,                0.58598,                0.65133,                0.57361,                0.22768,                0.55758,                0.59557,                  0.514,                0.17774,                 2.0752,                 2.9142,                  1.662,                 1.7971,             0.00056055,             0.00056055,             0.00056055
                     15,                 1.5033,                 2.4655,                 1.1281,                 1.3052,                0.61545,                0.66372,                0.61836,                0.24864,                 0.5606,                0.64071,                0.53583,                0.18969,                 1.9082,                 2.8606,                 1.5294,                 1.6712,             0.00042809,             0.00042809,             0.00042809
                     16,                 1.4293,                 2.3312,                 1.0626,                 1.2381,                0.59666,                0.68337,                 0.6219,                0.25729,                0.53884,                0.61947,                 0.5216,                0.19125,                 1.8871,                  2.803,                 1.4897,                 1.6807,             0.00030996,             0.00030996,             0.00030996
                     17,                 1.4419,                 2.3257,                 1.0481,                  1.253,                0.61071,                0.67965,                0.62932,                0.26307,                0.60129,                0.57345,                0.54441,                0.19932,                 1.8582,                  2.762,                 1.4529,                 1.6727,             0.00020907,             0.00020907,             0.00020907
                     18,                 1.4346,                 2.3719,                 1.0345,                 1.2455,                0.61271,                0.67965,                0.63331,                0.26955,                0.56936,                0.60608,                0.54418,                0.20367,                 1.8438,                 2.7442,                 1.4156,                 1.6637,              0.0001279,              0.0001279,              0.0001279
                     19,                 1.4204,                 2.3078,                 1.0002,                 1.2427,                0.62203,                0.72035,                0.64178,                0.27577,                0.56178,                0.64666,                0.54745,                0.20941,                 1.7985,                 2.6913,                 1.3275,                 1.6215,             6.8454e-05,             6.8454e-05,             6.8454e-05
                     20,                 1.4321,                 2.3392,                 1.0169,                 1.2406,                0.63517,                0.73097,                0.64755,                0.28115,                0.57673,                0.66372,                0.55817,                0.21163,                 1.7834,                 2.6818,                 1.3013,                 1.6007,             3.2189e-05,             3.2189e-05,             3.2189e-05
