                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.084,                 4.3774,                  3.783,                 1.8415,                0.07632,                0.06172,                0.04163,                0.02293,                 0.0601,                 0.0549,                0.03333,                0.01393,                 1.8799,                 4.2478,                 9.4596,                 1.6731,             0.00012495,             0.00012495,             0.00012495
                      2,                 1.9314,                 3.6947,                 2.4344,                 1.6391,                0.47314,                0.08239,                0.05128,                0.02678,                0.43952,                0.06308,                0.03167,                0.01366,                 1.8465,                 4.2677,                 8.8041,                 1.6098,             0.00025817,             0.00025817,             0.00025817
                      3,                 1.7929,                 3.4783,                 2.0799,                 1.5619,                0.33707,                0.11942,                0.05985,                0.03333,                 0.4556,                0.09448,                0.04847,                0.02146,                 1.7641,                 3.9098,                 6.2012,                 1.6078,             0.00039113,             0.00039113,             0.00039113
                      4,                   1.75,                 3.4108,                 2.0186,                 1.5465,                0.26081,                0.11422,                 0.0685,                0.03679,                 0.3371,                0.07576,                0.05211,                0.02079,                 1.8013,                 3.9959,                 3.8184,                 1.6526,             0.00052364,             0.00052364,             0.00052364
                      5,                 1.6943,                 3.2908,                 1.8906,                 1.4955,                0.22505,                0.10911,                0.06783,                0.03456,                0.20505,                0.08853,                0.05054,                0.01994,                 1.8479,                 3.8905,                 4.1185,                 1.6903,              0.0006555,              0.0006555,              0.0006555
                      6,                 1.6974,                 3.2776,                 1.8355,                 1.4896,                0.34453,                0.07583,                0.05438,                 0.0294,                0.33041,                0.06482,                0.04218,                0.01844,                 1.8169,                 3.8854,                 4.0722,                 1.6692,             0.00078653,             0.00078653,             0.00078653
                      7,                 1.7374,                 3.2993,                 1.8776,                 1.4836,                0.27533,                0.09113,                 0.0643,                0.03728,                0.28001,                0.07274,                0.05389,                0.02349,                  1.789,                 3.9774,                 3.7764,                 1.6479,              0.0008257,              0.0008257,              0.0008257
                      8,                 1.7101,                 3.3517,                 1.8379,                 1.4872,                0.10406,                0.09812,                0.05653,                 0.0319,                 0.0879,                0.07787,                 0.0441,                0.01906,                 1.7508,                 3.8218,                 2.7765,                 1.6218,             0.00082307,             0.00082307,             0.00082307
                      9,                 1.6485,                 3.2127,                  1.761,                 1.4709,                0.10202,                0.13631,                 0.0666,                0.03573,                0.08433,                0.11316,                0.05208,                0.02039,                 1.7772,                 3.8337,                  2.756,                 1.6353,             0.00082005,             0.00082005,             0.00082005
                     10,                  1.536,                 3.0084,                 10.006,                 1.3529,                0.23945,                0.14393,                0.08526,                0.04741,                0.08964,                0.12592,                0.06636,                0.02794,                 1.7313,                 3.6993,                 2.4395,                 1.6031,             0.00081663,             0.00081663,             0.00081663
                     11,                 1.6309,                 3.2314,                 1.8849,                 1.4535,                0.33848,                0.11403,                0.06205,                0.03356,                0.32494,                0.09222,                0.04806,                 0.0208,                 1.7118,                 3.7394,                 2.3958,                 1.5955,             0.00081282,             0.00081282,             0.00081282
                     12,                 1.6274,                 3.2281,                 1.8978,                 1.4624,                0.24837,                0.13264,                0.06662,                0.03649,                0.27314,                0.10189,                0.05152,                0.02261,                 1.7138,                 3.6973,                 2.3849,                 1.6047,             0.00080862,             0.00080862,             0.00080862
